What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 14 ;
Who are the current owners of each apartment? ||| SELECT T1.OWNERID FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERS AS T2 ON T2.OWNERID = T1.OWNERID GROUP BY T1.APARTMENTID ;
How many apartments are owned by each owner? ||| SELECT COUNT( T1.APARTMENTID ) FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERS AS T2 ON T2.OWNERID = T1.OWNERID GROUP BY T2.OWNERID ;
List all apartment that have been transferred after 2023-01-01 ||| SELECT DISTINCT T2.APARTMENTID FROM OWNERSHIPTRANSFERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.TRANSFERID = T1.TRANSFERID WHERE T1.DATE > "2023-01-01" ;
Which apartments have more than two bathrooms and at least three rooms? ||| SELECT * FROM APARTMENTDETAILS WHERE NUMBEROFBATHROOMS > 2 AND NUMBEROFROOMS >= 3 ;
What is the total value of ownership transfers for each apartment? ||| SELECT SUM( T2.PRICE ) FROM APARTMENTOWNERSHIP AS T1 INNER JOIN OWNERSHIPTRANSFERS AS T2 ON T2.TRANSFERID = T1.TRANSFERID GROUP BY T1.APARTMENTID ;
Find the owner who has bought the most expensive apartment. ||| SELECT T2.OWNERID FROM APARTMENTRATINGS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN OWNERSHIPTRANSFERS AS T3 ON T3.TRANSFERID = T2.TRANSFERID ORDER BY T3.PRICE DESC LIMIT 1 ;
Which owner owns more than 6 apartment? ||| SELECT T1.OWNERID FROM OWNERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.OWNERID = T1.OWNERID GROUP BY T2.APARTMENTID HAVING COUNT( T2.TRANSFERID ) > 6 ;
List all apartments with their last transfer price and date. ||| SELECT T1.APARTMENTID , T3.DATE , T3.PRICE FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN OWNERSHIPTRANSFERS AS T3 ON T3.TRANSFERID = T2.TRANSFERID ORDER BY T2.TRANSFERID DESC ;
Find all apartments with a description that contains 'Panoramic Views'. ||| SELECT * FROM `APARTMENTDESCRIPTION` WHERE DESCRIPTION LIKE "%Panoramic Views%" ;
What is the total number of rooms for all apartments owned by each owner? ||| SELECT SUM( T3.NUMBEROFROOMS ) , T1.OWNERNAME , T2.APARTMENTID FROM OWNERS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.OWNERID = T1.OWNERID INNER JOIN APARTMENTDETAILS AS T3 ON T3.APARTMENTID = T2.APARTMENTID GROUP BY T2.APARTMENTID ;
