What is the descriiption of the apartment with the ID 14? ||| SELECT Description FROM ApartmentDescription WHERE ApartmentID = 14
Who are the current owners of each apartment? ||| SELECT T2.OwnerName FROM ApartmentOwnership AS T1 INNER JOIN Owners AS T2 ON T1.OwnerID = T2.OwnerID WHERE T1.ApartmentID IN ( SELECT ApartmentID FROM ApartmentDetails )
How many apartments are owned by each owner? ||| SELECT COUNT(T2.ApartmentID) FROM Owners AS T1 INNER JOIN ApartmentOwnership AS T2 ON T1.OwnerID = T2.OwnerID GROUP BY T1.OwnerName
List all apartment that have been transferred after 2023-01-01 ||| SELECT T2.ApartmentID FROM OwnershipTransfers AS T1 INNER JOIN ApartmentOwnership AS T2 ON T1.TransferID = T2.TransferID WHERE SUBSTR(CAST(T1.Date AS TEXT), 1, 4) > '2023'
Which apartments have more than two bathrooms and at least three rooms? ||| SELECT * FROM ApartmentDetails WHERE NumberOfBathrooms > 2 AND NumberOfRooms >= 3
What is the total value of ownership transfers for each apartment? ||| SELECT SUM(T2.Price) FROM ApartmentOwnership AS T1 INNER JOIN OwnershipTransfers AS T2 ON T1.TransferID = T2.TransferID GROUP BY T1.ApartmentID
Find the owner who has bought the most expensive apartment. ||| SELECT T2.OwnerName FROM ApartmentOwnership AS T1 INNER JOIN Owners AS T2 ON T1.OwnerID = T2.OwnerID INNER JOIN OwnershipTransfers AS T3 ON T1.TransferID = T3.TransferID WHERE T3.Price = ( SELECT MAX(T3.Price) FROM ApartmentOwnership AS T1 INNER JOIN OwnershipTransfers AS T3 ON T1.TransferID = T3.TransferID )
Which owner owns more than 6 apartment? ||| SELECT T1.OwnerID FROM Owners AS T1 INNER JOIN ApartmentOwnership AS T2 ON T1.OwnerID = T2.OwnerID GROUP BY T1.OwnerID HAVING COUNT(T1.OwnerID) > 6
List all apartments with their last transfer price and date. ||| SELECT DISTINCT T2.ApartmentID, T3.Price, T3.Date FROM ApartmentDetails AS T1 INNER JOIN ApartmentDescription AS T2 ON T1.ApartmentID = T2.ApartmentID INNER JOIN OwnershipTransfers AS T3 ON T2.ApartmentID = T3.TransferID ORDER BY T2.ApartmentID
Find all apartments with a description that contains 'Panoramic Views'. ||| SELECT DISTINCT ApartmentID FROM ApartmentDescription WHERE Description LIKE '%Panoramic%Views%'
What is the total number of rooms for all apartments owned by each owner? ||| SELECT COUNT(T1.NumberOfRooms) ,  T2.OwnerName FROM ApartmentDetails AS T1 INNER JOIN Owners AS T2 ON T1.ApartmentID = T2.OwnerID GROUP BY T2.OwnerID
