What is the descriiption of the apartment with the ID 14? ||| SELECT Description FROM ApartmentDescription WHERE ApartmentID = 14
Who are the current owners of each apartment? ||| SELECT O.OwnerName, AO.ApartmentID  FROM ApartmentDetails AD  JOIN ApartmentOwnership AO ON AD.ApartmentID = AO.ApartmentID  JOIN Owners O ON AO.OwnerID = O.OwnerID
How many apartments are owned by each owner? ||| SELECT o.OwnerName, COUNT(ao.ApartmentID) AS NumberOfApartments FROM Owners o JOIN ApartmentOwnership ao ON o.OwnerID = ao.OwnerID GROUP BY o.OwnerID
List all apartment that have been transferred after 2023-01-01 ||| SELECT ad.ApartmentAddress, ot.Price, ot.Date FROM ApartmentDetails ad INNER JOIN ApartmentOwnership ao ON ad.ApartmentID = ao.ApartmentID INNER JOIN OwnershipTransfers ot ON ao.TransferID = ot.TransferID WHERE ot.Date > '2023-01-01'
Which apartments have more than two bathrooms and at least three rooms? ||| SELECT ApartmentAddress, ApartmentID, NumberOfRooms  FROM ApartmentDetails  WHERE NumberOfBathrooms > 2 AND NumberOfRooms >= 3;
What is the total value of ownership transfers for each apartment? ||| SELECT SUM(ot.Price) AS TotalValue FROM OwnershipTransfers ot INNER JOIN ApartmentOwnership ao ON ot.TransferID = ao.TransferID GROUP BY ao.ApartmentID
Find the owner who has bought the most expensive apartment. ||| SELECT o.OwnerName FROM Owners o INNER JOIN ApartmentOwnership ao ON o.OwnerID = ao.OwnerID INNER JOIN OwnershipTransfers ot ON ao.TransferID = ot.TransferID ORDER BY ot.Price DESC LIMIT 1
Which owner owns more than 6 apartment? ||| SELECT o.OwnerName, COUNT(ao.ApartmentID) AS NumberOfApartments FROM Owners o JOIN ApartmentOwnership ao ON o.OwnerID = ao.OwnerID GROUP BY o.OwnerID HAVING COUNT(ao.ApartmentID) > 6;
List all apartments with their last transfer price and date. ||| SELECT ad.ApartmentAddress, ot.Price, ot.Date  FROM ApartmentDetails ad  JOIN ApartmentOwnership ao ON ad.ApartmentID = ao.ApartmentID  JOIN OwnershipTransfers ot ON ao.TransferID = ot.TransferID  WHERE ot.Date = (SELECT MAX(ot2.Date) FROM OwnershipTransfers ot2 JOIN ApartmentOwnership ao2 ON ot2.TransferID = ao2.TransferID WHERE ao2.ApartmentID = ad.ApartmentID);
Find all apartments with a description that contains 'Panoramic Views'. ||| SELECT Description FROM ApartmentDescription WHERE Description LIKE '%Panoramic Views%'
What is the total number of rooms for all apartments owned by each owner? ||| SELECT SUM(a.NumberOfRooms) AS TotalRooms, o.OwnerName FROM Owners o JOIN ApartmentOwnership ao ON o.OwnerID = ao.OwnerID JOIN ApartmentDetails a ON ao.ApartmentID = a.ApartmentID GROUP BY o.OwnerID
What is the average price of apartment transfers by year? ||| SELECT AVG(PRICE) FROM OwnershipTransfers WHERE Date LIKE '19%'
