What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 14 ;
Who are the current owners of each apartment? ||| SELECT AD.APARTMENTADDRESS , O.OWNERNAME FROM APARTMENTOWNERSHIP AO JOIN APARTMENTDETAILS AD ON AO.APARTMENTID = AD.APARTMENTID JOIN OWNERS O ON O.OWNERID = AO.OWNERID ;
How many apartments are owned by each owner? ||| SELECT COUNT( AO.APARTMENTID ) AS NUMBEROFAPARTMENTS , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID ;
List all apartment that have been transferred after 2023-01-01 ||| SELECT DISTINCT AD.APARTMENTADDRESS , OT.PRICE FROM OWNERSHIPTRANSFERS OT INNER JOIN APARTMENTOWNERSHIP AO ON OT.TRANSFERID = AO.TRANSFERID INNER JOIN APARTMENTDETAILS AD ON AO.APARTMENTID = AD.APARTMENTID WHERE STRFTIME ( "%Y-%m-%d" , OT.DATE ) > "2023-01-01" ;
Which apartments have more than two bathrooms and at least three rooms? ||| SELECT APARTMENTADDRESS , APARTMENTID , NUMBEROFBATHROOMS , NUMBEROFROOMS , SIZE FROM APARTMENTDETAILS WHERE NUMBEROFBATHROOMS > 2 AND NUMBEROFROOMS >= 3 ;
What is the total value of ownership transfers for each apartment? ||| SELECT SUM( OT.PRICE ) AS TOTALVALUE FROM APARTMENTOWNERSHIP AO INNER JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID ;
Find the owner who has bought the most expensive apartment. ||| SELECT O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID WHERE OT.PRICE = ( SELECT MAX( OT2.PRICE ) FROM OWNERSHIPTRANSFERS OT2 ) ;
Which owner owns more than 6 apartment? ||| SELECT COUNT( AO.APARTMENTID ) AS NUMBEROFAPARTMENTS , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID HAVING COUNT( AO.APARTMENTID ) > 6 ;
List all apartments with their last transfer price and date. ||| SELECT T1.APARTMENTADDRESS , T3.DATE , T3.PRICE FROM APARTMENTDETAILS AS T1 INNER JOIN APARTMENTOWNERSHIP AS T2 ON T2.APARTMENTID = T1.APARTMENTID INNER JOIN OWNERSHIPTRANSFERS AS T3 ON T3.TRANSFERID = T2.TRANSFERID ;
Find all apartments with a description that contains 'Panoramic Views'. ||| SELECT AD.APARTMENTADDRESS , D.DESCRIPTION FROM APARTMENTDETAILS AD JOIN APARTMENTDESCRIPTION D ON D.APARTMENTID = AD.APARTMENTID WHERE D.DESCRIPTION LIKE "%Panoramic Views%" ;
What is the total number of rooms for all apartments owned by each owner? ||| SELECT COUNT( AO.APARTMENTID ) , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID ;
What is the average price of apartment transfers by year? ||| SELECT AVG ( PRICE ) FROM OWNERSHIPTRANSFERS WHERE DATE LIKE "%/%/19%" AND PRICE IS NOT NULL ;
Find the most common number of rooms among all apartments. ||| SELECT MAX( NUMBEROFROOMS ) AS MAXROOMS FROM ( SELECT DISTINCT NUMBEROFROOMS FROM APARTMENTDETAILS ) ;
Retrieve the owners and the total number of bathrooms in the apartments they own. ||| SELECT O.OWNERNAME , SUM( AD.NUMBEROFBATHROOMS ) AS TOTALNUMBEROFBATHROOMS FROM OWNERS O INNER JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID INNER JOIN APARTMENTDETAILS AD ON AO.APARTMENTID = AD.APARTMENTID GROUP BY O.OWNERID ;
List the apartments with the smallest size that have at least two bathrooms. ||| SELECT APARTMENTADDRESS , NUMBEROFROOMS , SIZE FROM APARTMENTDETAILS WHERE NUMBEROFBATHROOMS >= 2 ORDER BY SIZE ASC LIMIT 1 ;
What is the total number of apartments with balconies owned by each owner? ||| SELECT O.OWNERNAME , SUM( CASE WHEN BALCONY THEN 1 ELSE 0 END ) AS TOTALBALLOONYAPARTMENTS FROM APARTMENTOWNERSHIP AOINNER JOIN OWNERS O ON O.OWNERID = AOINNER.OWNERID JOIN APARTMENTDETAILS AD ON AOINNER.APARTMENTID = AD.APARTMENTID GROUP BY O.OWNERNAME ;
Retrieve the list of all apartments with their latest review text and rating. ||| SELECT AP.APARTMENTADDRESS , AR.RATING , AR.TEXT FROM APARTMENTDETAILS AP JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AP.APARTMENTID ;
List apartments with their addresses that have never received a rating of 1. ||| SELECT AD.APARTMENTADDRESS , AD.APARTMENTID FROM APARTMENTRATINGS AR LEFT JOIN APARTMENTDETAILS AD ON AR.APARTMENTID = AD.APARTMENTID WHERE AR.RATING IS NULL ;
Get the average size of apartments by the number of rooms. ||| SELECT AVG ( SIZE ) FROM APARTMENTDETAILS GROUP BY NUMBEROFROOMS ;
List apartments ordered by their length of the description. ||| SELECT AD.APARTMENTID , D.DESCRIPTION FROM APARTMENTDESCRIPTION D JOIN APARTMENTDETAILS AD ON D.APARTMENTID = AD.APARTMENTID ORDER BY LENGTH ( D.DESCRIPTION ) ;
Find all apartments with a maximal rating below 3. ||| SELECT AD.APARTMENTADDRESS , AD.APARTMENTID FROM APARTMENTDETAILS AD JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID WHERE AR.RATING < 3 ;
Find the average number of rooms for apartments with and without balconies. ||| SELECT AVG ( CASE WHEN BALCONY = 0 THEN NUMBEROFROOMS ELSE NULL END ) AS AVERAGENUMBEROFROOMSWITHOUTBALCONY , AVG ( CASE WHEN BALCONY = 1 THEN NUMBEROFROOMS ELSE NULL END ) AS AVERAGENUMBEROFROOMSWITHBALCONY FROM APARTMENTDETAILS ;
List all apartments that were transferred for more than $200,000 and received an average rating of at least 4. ||| SELECT AD.APARTMENTADDRESS , AR.RATING FROM APARTMENTDETAILS AD JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID JOIN OWNERSHIPTRANSFERS OT ON AO.APARTMENTID = AD.APARTMENTID JOIN APARTMENTOWNERSHIP AO ON AO.APARTMENTID = AD.APARTMENTID WHERE AR.RATING >= 4 AND OT.PRICE > 200000 ;
Find the apartments that have a size above the average size of all apartments. ||| SELECT APARTMENTADDRESS , SIZE FROM APARTMENTDETAILS WHERE SIZE > ( SELECT AVG ( SIZE ) FROM APARTMENTDETAILS ) ;
List the owners and the total value of all apartments they have transferred. ||| SELECT O.OWNERNAME , SUM( OT.PRICE ) AS TOTALVALUE FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID GROUP BY O.OWNERNAME ;
Select all adresses of all apartments ||| SELECT A.APARTMENTADDRESS FROM APARTMENTDETAILS AS A ;
Get the descriptions of apartments with a balcony ||| SELECT AD.DESCRIPTION FROM APARTMENTDESCRIPTION AD JOIN APARTMENTDETAILS A ON AD.APARTMENTID = A.APARTMENTID WHERE A.BALCONY = 1 ;
Get top 5 highest-rated apartments ||| SELECT AD.APARTMENTADDRESS , AD.SIZE , AR.RATING , AR.TEXT FROM APARTMENTDETAILS AD JOIN APARTMENTRATINGS AR ON AR.APARTMENTID = AD.APARTMENTID WHERE AR.RATING IN ( SELECT MAX( AR2.RATING ) FROM APARTMENTDETAILS AD2 JOIN APARTMENTRATINGS AR2 ON AR2.APARTMENTID = AD2.APARTMENTID GROUP BY AR2.APARTMENTID LIMIT 5 ) ;
Get apartments which are bigger than 1000 ||| SELECT APARTMENTADDRESS , SIZE FROM APARTMENTDETAILS WHERE SIZE > 1000 ;
