What is the descriiption of the apartment with the ID 14? ||| SELECT DESCRIPTION FROM APARTMENTDESCRIPTION WHERE APARTMENTID = 14 ;
Who are the current owners of each apartment? ||| SELECT O.OWNERNAME FROM OWNERSHIPTRANSFERS OT INNER JOIN APARTMENTOWNERSHIP AO ON OT.TRANSFERID = AO.TRANSFERID INNER JOIN OWNERS O ON O.OWNERID = AO.OWNERID ;
How many apartments are owned by each owner? ||| SELECT COUNT( AO.APARTMENTID ) AS NUMBEROFAPARTMENTS , O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID ;
List all apartment that have been transferred after 2023-01-01 ||| SELECT A1.APARTMENTADDRESS , A1.BALCONY , A1.NUMBEROFBATHROOMS , A1.NUMBEROFROOMS , A1.SIZE FROM APARTMENTDETAILS AS A1 INNER JOIN APARTMENTOWNERSHIP AS A2 ON A2.APARTMENTID = A1.APARTMENTID INNER JOIN OWNERSHIPTRANSFERS AS O ON O.TRANSFERID = A2.TRANSFERID WHERE STRFTIME ( "%Y" , O.DATE ) > "2023" ;
Which apartments have more than two bathrooms and at least three rooms? ||| SELECT DISTINCT APARTMENTADDRESS , APARTMENTID , NUMBEROFBATHROOMS , NUMBEROFROOMS FROM APARTMENTDETAILS WHERE NUMBEROFBATHROOMS >= 3 AND NUMBEROFROOMS >= 3 ;
What is the total value of ownership transfers for each apartment? ||| SELECT SUM( OT.PRICE ) AS TOTALVALUE FROM APARTMENTOWNERSHIP AO JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID GROUP BY AO.APARTMENTID ;
Find the owner who has bought the most expensive apartment. ||| SELECT O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN OWNERSHIPTRANSFERS OT ON OT.TRANSFERID = AO.TRANSFERID ORDER BY OT.PRICE DESC LIMIT 1 ;
Which owner owns more than 6 apartment? ||| SELECT O.OWNERNAME FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID GROUP BY O.OWNERID HAVING COUNT( AO.APARTMENTID ) > 6 ;
List all apartments with their last transfer price and date. ||| SELECT A.APARTMENTADDRESS , OT.DATE , OT.PRICE FROM APARTMENTDETAILS A JOIN OWNERSHIPTRANSFERS OT ON A.APARTMENTID = ( SELECT AO2.APARTMENTID FROM APARTMENTOWNERSHIP AO2 JOIN OWNERSHIPTRANSFERS OT2 ON OT2.TRANSFERID = AO2.TRANSFERID WHERE OT2.DATE = ( SELECT MAX( OT3.DATE ) FROM OWNERSHIPTRANSFERS OT3 WHERE OT3.TRANSFERID = AO2.TRANSFERID ) GROUP BY AO2.APARTMENTID ) ;
Find all apartments with a description that contains 'Panoramic Views'. ||| SELECT AD.APARTMENTADDRESS , AD.NUMBEROFROOMS , AD.SIZE FROM APARTMENTDETAILS AD JOIN APARTMENTDESCRIPTION D ON D.APARTMENTID = AD.APARTMENTID WHERE D.DESCRIPTION LIKE "%Panoramic Views%" ;
What is the total number of rooms for all apartments owned by each owner? ||| SELECT O.OWNERNAME , SUM( T.NUMBEROFROOMS + T.NUMBEROFBATHROOMS ) AS TOTALNUMBEROFROOMS FROM OWNERS O JOIN APARTMENTOWNERSHIP AO ON O.OWNERID = AO.OWNERID JOIN APARTMENTDETAILS T ON T.APARTMENTID = AO.APARTMENTID GROUP BY O.OWNERID ;
